acousticness,bb_index,billboard_artist,billboard_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.0473,98.0,2 chainz,i'm different,0.936,207040.0,0.702,6J5sxraPPZ4b0CVOGAgpXj,0.0,10.0,0.0838,-5.305,1.0,58.0,2012-01-01,0.0615,Based On A T.R.U. Story (Deluxe),2 Chainz,I'm Different,97.524,4.0,audio_features,spotify:track:6J5sxraPPZ4b0CVOGAgpXj,0.704
0.0098,99.0,paramore,still into you,0.602,216013.0,0.923,1yjY7rpaAQvKwpdUliHx0d,0.0,5.0,0.0561,-3.763,1.0,72.0,2013-04-05,0.044,Paramore,Paramore,Still into You,136.01,4.0,audio_features,spotify:track:1yjY7rpaAQvKwpdUliHx0d,0.765
0.219,100.0,pharrell williams,happy,0.647,232720.0,0.822,5b88tNINg4Q4nrRbrCXUmg,0.0,5.0,0.0908,-4.662,0.0,77.0,2014-03-03,0.183,G I R L,Pharrell Williams,"Happy - From ""Despicable Me 2""",160.019,4.0,audio_features,spotify:track:5b88tNINg4Q4nrRbrCXUmg,0.962
0.00314,101.0,katy perry,dark horse,0.645,215672.0,0.585,5jrdCoLpJSvHHorevXBATy,0.0,6.0,0.165,-6.122,1.0,76.0,2013-01-01,0.0513,PRISM (Deluxe),Katy Perry,Dark Horse,131.931,4.0,audio_features,spotify:track:5jrdCoLpJSvHHorevXBATy,0.353
0.922,102.0,john legend,all of me,0.422,269560.0,0.264,3U4isOIWM3VvDubwSI3y7a,0.0,8.0,0.132,-7.064,1.0,84.0,2013-08-30,0.0322,Love In The Future (Expanded Edition),John Legend,All of Me,119.93,4.0,audio_features,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.331
0.0904,103.0,iggy azalea,fancy,0.912,199938.0,0.716,3oiMJQAWVaxSubJ7b2VUtX,0.0,10.0,0.0491,-4.141,0.0,68.0,2014-01-01,0.0697,The New Classic (Deluxe Version),Iggy Azalea,Fancy,94.981,4.0,audio_features,spotify:track:3oiMJQAWVaxSubJ7b2VUtX,0.377
0.0654,104.0,onerepublic,counting stars,0.664,257840.0,0.705,6sy3LkhNFjJWlaeSMNwQ62,0.0,1.0,0.115,-4.972,0.0,73.0,2014-01-01,0.0382,Native,OneRepublic,Counting Stars,122.017,4.0,audio_features,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,0.477
0.555,105.0,jason derulo,talk dirty,0.635,217419.0,0.691,5KONnBIQ9LqCxyeSPin26k,0.0,0.0,0.097,-4.862,1.0,66.0,2013-09-10,0.258,Talk Dirty,Jason Derulo,Trumpets - MDM Version,82.142,4.0,audio_features,spotify:track:5KONnBIQ9LqCxyeSPin26k,0.638
0.0423,106.0,magic!,rude,0.774,224840.0,0.756,6RtPijgfPKROxEzTHNRiDp,0.0,1.0,0.305,-4.995,1.0,75.0,2014-06-25,0.0389,Don't Kill the Magic,MAGIC!,Rude,144.032,4.0,audio_features,spotify:track:6RtPijgfPKROxEzTHNRiDp,0.931
0.0573,107.0,meghan trainor,all about that bass,0.807,187920.0,0.887,5jE48hhRu8E6zBDPRSkEq7,2.87e-06,9.0,0.124,-3.726,1.0,67.0,2015-01-09,0.0503,Title (Deluxe),Meghan Trainor,All About That Bass,134.052,4.0,audio_features,spotify:track:5jE48hhRu8E6zBDPRSkEq7,0.961
0.0192,108.0,ariana grande,problem,0.66,193920.0,0.805,7vS3Y0IKjde7Xg85LWIEdP,8.83e-06,1.0,0.159,-5.352,0.0,74.0,2014-08-25,0.153,My Everything (Deluxe),Ariana Grande,Problem,103.009,4.0,audio_features,spotify:track:7vS3Y0IKjde7Xg85LWIEdP,0.625
0.588,109.0,sam smith,stay with me,0.418,172724.0,0.42,5Nm9ERjJZ5oyfXZTECKmRt,6.39e-05,0.0,0.11,-6.444,1.0,82.0,2014-01-01,0.0414,In The Lonely Hour,Sam Smith,Stay With Me,84.094,4.0,audio_features,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,0.184
0.0295,110.0,pitbull,timber,0.581,204160.0,0.963,3cHyrEgdyYRjgJKSOiOtcS,0.0,11.0,0.139,-4.087,1.0,74.0,2012,0.0981,Global Warming: Meltdown (Deluxe Version),Pitbull,Timber,129.992,4.0,audio_features,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,0.788
0.0755,111.0,bastille,pompeii,0.679,214148.0,0.715,3gbBpTdY8lnQwqxNCcf795,0.0,9.0,0.271,-6.383,1.0,68.0,2013-01-01,0.0407,Bad Blood,Bastille,Pompeii,127.435,4.0,audio_features,spotify:track:3gbBpTdY8lnQwqxNCcf795,0.571
0.0561,112.0,taylor swift,shake it off,0.648,219200.0,0.785,5xTtaWoae3wi06K5WfVUUH,0.0,7.0,0.148,-5.414,1.0,67.0,2014-10-27,0.165,1989,Taylor Swift,Shake It Off,160.02,4.0,audio_features,spotify:track:5xTtaWoae3wi06K5WfVUUH,0.943
0.162,113.0,nico & vinz,am i wrong,0.725,247520.0,0.68,1fidCEsYlaVE3pHwKCvpFZ,2.13e-06,8.0,0.158,-5.465,1.0,70.0,2014,0.0306,Black Star Elephant,Nico & Vinz,Am I Wrong,119.939,4.0,audio_features,spotify:track:1fidCEsYlaVE3pHwKCvpFZ,0.76
0.00107,114.0,dj snake,turn down for what,0.818,213733.0,0.799,67awxiNHNyjMXhVgsHuIrs,0.128,1.0,0.057,-4.1,0.0,70.0,2013-12-18,0.156,Turn Down for What,DJ Snake,Turn Down for What,100.014,4.0,audio_features,spotify:track:67awxiNHNyjMXhVgsHuIrs,0.0815
0.0525,115.0,eminem,the monster,0.781,250189.0,0.853,48RrDBpOSSl1aLVCalGl5C,0.0,1.0,0.12,-3.68,0.0,73.0,2013-11-05,0.0715,The Marshall Mathers LP2,Eminem,The Monster,110.049,4.0,audio_features,spotify:track:48RrDBpOSSl1aLVCalGl5C,0.624
0.857,116.0,a great big world,say something,0.407,229400.0,0.147,6Vc5wAMmXdKIAM7WUoEb7N,2.89e-06,2.0,0.0913,-8.822,1.0,77.0,2014-01-17,0.0355,Is There Anybody Out There?,A Great Big World,Say Something,141.284,3.0,audio_features,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,0.0765
0.151,117.0,lorde,team,0.696,193059.0,0.59,3G6hD9B2ZHOsgf4WfNu7X1,0.0,6.0,0.247,-7.428,1.0,71.0,2013-01-01,0.0904,Pure Heroine,Lorde,Team,99.984,4.0,audio_features,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,0.462
0.365,118.0,passenger,let her go,0.479,252733.0,0.545,6GmUVqe73u5YRfUUynZK6I,0.0,7.0,0.0963,-7.346,1.0,71.0,2012-06-29,0.0688,All the Little Lights,Passenger,Let Her Go,74.897,4.0,audio_features,spotify:track:6GmUVqe73u5YRfUUynZK6I,0.244
0.106,119.0,lorde,royals,0.616,190185.0,0.432,2dLLR6qlu5UJ5gk0dKz0h3,0.0,7.0,0.132,-9.546,1.0,76.0,2013-01-01,0.133,Pure Heroine,Lorde,Royals,84.778,4.0,audio_features,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,0.302
0.558,120.0,idina menzel,let it go,0.541,223840.0,0.485,0qcr5FMsEO85NAQjrlDRKo,0.0,8.0,0.12,-6.85,1.0,70.0,2013-01-01,0.031,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",136.956,4.0,audio_features,spotify:track:0qcr5FMsEO85NAQjrlDRKo,0.369
0.00346,121.0,avicii,wake me up,0.518,247427.0,0.784,4h8VwCb1MTGoLKueQ1WgbD,0.00187,2.0,0.171,-5.659,1.0,83.0,2013-01-01,0.0524,True,Avicii,Wake Me Up,124.102,4.0,audio_features,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,0.588
0.19,122.0,imagine dragons,demons,0.505,175200.0,0.71,3LlAyCYU26dvFZBDUIMb7a,0.00025,3.0,0.329,-3.015,1.0,72.0,2012-01-01,0.0321,Night Visions,Imagine Dragons,Demons,89.938,4.0,audio_features,spotify:track:3LlAyCYU26dvFZBDUIMb7a,0.428
0.225,123.0,one direction,story of my life,0.6,245493.0,0.663,4nVBt6MZDDP6tRVdQTgxJg,0.0,3.0,0.119,-5.802,1.0,78.0,2013-11-25,0.0477,Midnight Memories (Deluxe),One Direction,Story of My Life,121.07,4.0,audio_features,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,0.286
0.0197,124.0,sia furler,chandelier,0.399,216120.0,0.787,2s1sdSqGcKxpPr5lCl7jAV,6.07e-05,1.0,0.0685,-2.88,1.0,70.0,2015-05-01,0.0499,1000 Forms Of Fear (Deluxe Version),Sia,Chandelier,117.089,5.0,audio_features,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,0.572
0.181,125.0,iggy azalea,black widow,0.741,209423.0,0.726,7pNC5ZIKtwUK0ReSpM3P9f,0.000189,3.0,0.111,-3.77,0.0,64.0,2014-01-01,0.143,The New Classic,Iggy Azalea,Black Widow,163.991,4.0,audio_features,spotify:track:7pNC5ZIKtwUK0ReSpM3P9f,0.527
0.26,126.0,jessie j,bang bang,0.706,199387.0,0.786,0puf9yIluy9W0vpMEUoAnN,0.0,0.0,0.38,-3.417,0.0,77.0,2014-10-14,0.0909,Sweet Talker (Deluxe Version),Jessie J,Bang Bang,150.035,4.0,audio_features,spotify:track:0puf9yIluy9W0vpMEUoAnN,0.749
0.0178,127.0,disclosure,latch,0.729,255867.0,0.735,1DunhgeZSEgWiIYbHqXl0c,0.000193,1.0,0.089,-5.455,1.0,67.0,2014-01-01,0.0919,Settle (Deluxe),Disclosure,Latch,121.986,4.0,audio_features,spotify:track:1DunhgeZSEgWiIYbHqXl0c,0.544
0.0205,128.0,maroon 5,maps,0.742,189960.0,0.713,4gbVRS8gloEluzf0GzDOFc,0.0,1.0,0.059,-5.522,0.0,75.0,2015-05-15,0.0303,V,Maroon 5,Maps,120.032,4.0,audio_features,spotify:track:4gbVRS8gloEluzf0GzDOFc,0.879
